1,1,973.00,312.00,56.00,115.00,1.00,-1,-1,-1
1,2,964.00,212.00,46.00,109.00,1.00,-1,-1,-1
1,3,443.00,431.00,53.00,136.00,1.00,-1,-1,-1
1,4,1195.00,96.00,38.00,86.00,1.00,-1,-1,-1
1,5,499.00,300.00,50.00,115.00,1.00,-1,-1,-1
1,6,172.00,290.00,45.00,117.00,1.00,-1,-1,-1
1,7,759.00,633.00,70.00,87.00,1.00,-1,-1,-1
1,8,800.00,84.00,36.00,94.00,1.00,-1,-1,-1
1,9,471.00,159.00,38.00,98.00,1.00,-1,-1,-1
1,10,132.00,29.00,44.00,77.00,1.00,-1,-1,-1
1,11,726.00,30.00,29.00,68.00,1.00,-1,-1,-1
1,12,594.00,62.00,27.00,78.00,1.00,-1,-1,-1
1,13,1074.00,10.00,29.00,75.00,1.00,-1,-1,-1
1,14,378.00,174.00,42.00,96.00,1.00,-1,-1,-1
1,15,1116.00,7.00,35.00,85.00,1.00,-1,-1,-1
1,16,569.00,47.00,27.00,83.00,1.00,-1,-1,-1
1,17,532.00,50.00,31.00,85.00,1.00,-1,-1,-1
1,18,1128.00,51.00,60.00,139.00,1.00,-1,-1,-1
1,19,775.00,99.00,33.00,87.00,1.00,-1,-1,-1
1,20,945.00,468.00,72.00,123.00,1.00,-1,-1,-1
1,21,617.00,116.00,36.00,88.00,1.00,-1,-1,-1
1,22,59.00,85.00,37.00,83.00,1.00,-1,-1,-1
2,1,976.00,319.00,55.00,112.00,1.00,-1,-1,-1
2,2,967.00,214.00,45.00,108.00,1.00,-1,-1,-1
2,3,446.00,426.00,51.00,136.00,1.00,-1,-1,-1
2,5,503.00,296.00,47.00,106.00,1.00,-1,-1,-1
2,10,136.00,27.00,41.00,76.00,1.00,-1,-1,-1
2,8,800.00,80.00,36.00,93.00,1.00,-1,-1,-1
2,4,1196.00,98.00,37.00,85.00,1.00,-1,-1,-1
2,7,759.00,628.00,70.00,92.00,1.00,-1,-1,-1
2,6,170.00,294.00,47.00,112.00,1.00,-1,-1,-1
